Probe Detununing,Rydberg Population
-108644000.0,3.664153717373702e-05
-108016000.0,3.7230607611128554e-05
-107388000.0,3.783207721575557e-05
-106760000.0,3.844626486463272e-05
-106132000.0,3.90734991724282e-05
-105504000.0,3.9714118839767955e-05
-104876000.0,4.036847301600371e-05
-104248000.0,4.103692167713693e-05
-103620000.0,4.171983601962461e-05
-102992000.0,4.241759887083475e-05
-102364000.0,4.31306051169659e-05
-101736000.0,4.385926214928108e-05
-101108000.0,4.4603990329562205e-05
-100480000.0,4.536522347573495e-05
-99852000.0,4.614340936867665e-05
-99224000.0,4.693901028126561e-05
-98596000.0,4.7752503530802855e-05
-97968000.0,4.858438205598942e-05
-97340000.0,4.9435155019724295e-05
-96712000.0,5.030534843905372e-05
-96084000.0,5.11955058436794e-05
-95456000.0,5.210618896451944e-05
-94828000.0,5.303797845391259e-05
-94200000.0,5.3991474639130555e-05
-93572000.0,5.496729831098807e-05
-92944000.0,5.596609154942793e-05
-92316000.0,5.6988518588090775e-05
-91688000.0,5.803526671998909e-05
-91060000.0,5.91070472465459e-05
-90432000.0,6.020459647239256e-05
-89804000.0,6.132867674847381e-05
-89176000.0,6.248007756617592e-05
-88548000.0,6.365961670535032e-05
-87920000.0,6.48681414393095e-05
-87292000.0,6.610652980005737e-05
-86664000.0,6.737569190722975e-05
-86036000.0,6.867657136446059e-05
-85408000.0,7.001014672711835e-05
-84780000.0,7.137743304563354e-05
-84152000.0,7.277948348891221e-05
-83524000.0,7.421739105264529e-05
-82896000.0,7.569229035763639e-05
-82268000.0,7.72053595436358e-05
-81640000.0,7.87578222645454e-05
-81012000.0,8.03509497912562e-05
-80384000.0,8.19860632288455e-05
-79756000.0,8.366453585530643e-05
-79128000.0,8.538779558951968e-05
-78500000.0,8.715732759672342e-05
-77872000.0,8.897467704032842e-05
-77244000.0,9.084145198958827e-05
-76616000.0,9.275932649332081e-05
-75988000.0,9.473004383064847e-05
-75360000.0,9.675541995053609e-05
-74732000.0,9.883734711280032e-05
-74104000.0,0.00010097779774423144
-73476000.0,0.00010317882852451834
-72848000.0,0.00010544258471780224
-72220000.0,0.00010777130476692237
-71592000.0,0.00011016732516877258
-70964000.0,0.00011263308565063705
-70336000.0,0.00011517113466899016
-69708000.0,0.00011778413525395877
-69080000.0,0.0001204748712245731
-68452000.0,0.00012324625380197413
-67824000.0,0.00012610132865002968
-67196000.0,0.0001290432833752781
-66568000.0,0.00013207545552081242
-65940000.0,0.00013520134109171165
-65312000.0,0.00013842460365283443
-64684000.0,0.00014174908404339173
-64056000.0,0.00014517881075659615
-63428000.0,0.0001487180110369963
-62800000.0,0.00015237112275283437
-62172000.0,0.0001561428071059521
-61544000.0,0.00016003796224751485
-60916000.0,0.0001640617378741299
-60288000.0,0.00016821955088592859
-59660000.0,0.00017251710219586558
-59032000.0,0.00017696039478803276
-58404000.0,0.0001815557531322122
-57776000.0,0.00018630984407234978
-57148000.0,0.0001912296993182432
-56520000.0,0.0001963227396826119
-55892000.0,0.0002015968012200629
-55264000.0,0.00020706016344038618
-54636000.0,0.0002127215797864276
-54008000.0,0.00021859031058657272
-53380000.0,0.00022467615871406144
-52752000.0,0.00023098950821009686
-52124000.0,0.0002375413661554817
-51496000.0,0.00024434340810659247
-50868000.0,0.00025140802744643337
-50240000.0,0.0002587483890407879
-49612000.0,0.0002663784876336386
-48984000.0,0.00027431321146589063
-48356000.0,0.0002825684116576766
-47728000.0,0.00029116097795807514
-47100000.0,0.0003001089215381441
-46472000.0,0.00030943146558479585
-45844000.0,0.00031914914454581126
-45216000.0,0.00032928391298182153
-44588000.0,0.00033985926510137155
-43960000.0,0.000350900366192428
-43332000.0,0.0003624341973207424
-42704000.0,0.0003744897148452893
-42076000.0,0.0003870980265074521
-41448000.0,0.0004002925860879699
-40820000.0,0.00041410940889914075
-40192000.0,0.0004285873106954663
-39564000.0,0.0004437681729511275
-38936000.0,0.00045969723787602743
-38308000.0,0.00047642343703399896
-37680000.0,0.0004939997579994344
-37052000.0,0.00051248365415695
-36424000.0,0.0005319375035305571
-35796000.0,0.000552429123445656
-35168000.0,0.0005740323489050607
-34540000.0,0.0005968276838307758
-33912000.0,0.0006209030358247816
-33284000.0,0.0006463545468816115
-32656000.0,0.0006732875346004795
-32028000.0,0.0007018175609658206
-31400000.0,0.0007320716487794431
-30772000.0,0.0007641896694430278
-30144000.0,0.000798325930140355
-29516000.0,0.000834650993721655
-28888000.0,0.0008733537709571721
-28260000.0,0.0009146439325664844
-27632000.0,0.0009587546978767709
-27004000.0,0.001005946068538343
-26376000.0,0.0010565085899662868
-25748000.0,0.0011107677407700797
-25120000.0,0.0011690890722623932
-24492000.0,0.0012318842473463215
-23864000.0,0.001299618162151637
-23236000.0,0.0013728173766647427
-22608000.0,0.0014520801348220213
-21980000.0,0.0015380883234795023
-21352000.0,0.0016316218078096254
-20724000.0,0.001733575693996613
-20096000.0,0.0018449812166674699
-19468000.0,0.0019670311392321685
-18840000.0,0.0021011108051238966
-18212000.0,0.002248836307317343
-17584000.0,0.0024121016808206944
-16956000.0,0.002593137607631173
-16328000.0,0.002794584911472309
-15700000.0,0.0030195871891344384
-15072000.0,0.00327190838856879
-14444000.0,0.0035560831621477816
-13816000.0,0.003877610629735758
-13188000.0,0.00424320611957559
-12560000.0,0.004661131011554144
-11932000.0,0.005141628714887522
-11304000.0,0.005697506137926205
-10676000.0,0.006344916307871945
-10048000.0,0.007104421307445237
-9420000.0,0.008002448516948878
-8792000.0,0.009073301287885457
-8164000.0,0.010361951919201327
-7536000.0,0.011927932078389282
-6908000.0,0.01385073464231377
-6280000.0,0.01623720701040378
-5652000.0,0.01923130312207851
-5024000.0,0.023025849095348872
-4396000.0,0.027873549114687944
-3768000.0,0.03408759409711436
-3140000.0,0.04200525802826702
-2512000.0,0.0518531690010018
-1884000.0,0.06340966748460189
-1256000.0,0.07540967307782463
-628000.0,0.08506623356946973
0.0,0.08885866894481793
628000.0,0.08506623356946973
1256000.0,0.07540967307782463
1884000.0,0.06340966748460189
2512000.0,0.0518531690010018
3140000.0,0.04200525802826702
3768000.0,0.03408759409711436
4396000.0,0.027873549114687944
5024000.0,0.023025849095348872
5652000.0,0.01923130312207851
6280000.0,0.01623720701040378
6908000.0,0.01385073464231377
7536000.0,0.011927932078389282
8164000.0,0.010361951919201327
8792000.0,0.009073301287885457
9420000.0,0.008002448516948878
10048000.0,0.007104421307445237
10676000.0,0.006344916307871945
11304000.0,0.005697506137926205
11932000.0,0.005141628714887522
12560000.0,0.004661131011554144
13188000.0,0.00424320611957559
13816000.0,0.003877610629735758
14444000.0,0.0035560831621477816
15072000.0,0.00327190838856879
15700000.0,0.0030195871891344384
16328000.0,0.002794584911472309
16956000.0,0.002593137607631173
17584000.0,0.0024121016808206944
18212000.0,0.002248836307317343
18840000.0,0.0021011108051238966
19468000.0,0.0019670311392321685
20096000.0,0.0018449812166674699
20724000.0,0.001733575693996613
21352000.0,0.0016316218078096254
21980000.0,0.0015380883234795023
22608000.0,0.0014520801348220213
23236000.0,0.0013728173766647427
23864000.0,0.001299618162151637
24492000.0,0.0012318842473463215
25120000.0,0.0011690890722623932
25748000.0,0.0011107677407700797
26376000.0,0.0010565085899662868
27004000.0,0.001005946068538343
27632000.0,0.0009587546978767709
28260000.0,0.0009146439325664844
28888000.0,0.0008733537709571721
29516000.0,0.000834650993721655
30144000.0,0.000798325930140355
30772000.0,0.0007641896694430278
31400000.0,0.0007320716487794431
32028000.0,0.0007018175609658206
32656000.0,0.0006732875346004795
33284000.0,0.0006463545468816115
33912000.0,0.0006209030358247816
34540000.0,0.0005968276838307758
35168000.0,0.0005740323489050607
35796000.0,0.000552429123445656
36424000.0,0.0005319375035305571
37052000.0,0.00051248365415695
37680000.0,0.0004939997579994344
38308000.0,0.00047642343703399896
38936000.0,0.00045969723787602743
39564000.0,0.0004437681729511275
40192000.0,0.0004285873106954663
40820000.0,0.00041410940889914075
41448000.0,0.0004002925860879699
42076000.0,0.0003870980265074521
42704000.0,0.0003744897148452893
43332000.0,0.0003624341973207424
43960000.0,0.000350900366192428
44588000.0,0.00033985926510137155
45216000.0,0.00032928391298182153
45844000.0,0.00031914914454581126
46472000.0,0.00030943146558479585
47100000.0,0.0003001089215381441
47728000.0,0.00029116097795807514
48356000.0,0.0002825684116576766
48984000.0,0.00027431321146589063
49612000.0,0.0002663784876336386
50240000.0,0.0002587483890407879
50868000.0,0.00025140802744643337
51496000.0,0.00024434340810659247
52124000.0,0.0002375413661554817
52752000.0,0.00023098950821009686
53380000.0,0.00022467615871406144
54008000.0,0.00021859031058657272
54636000.0,0.0002127215797864276
55264000.0,0.00020706016344038618
55892000.0,0.0002015968012200629
56520000.0,0.0001963227396826119
57148000.0,0.0001912296993182432
57776000.0,0.00018630984407234978
58404000.0,0.0001815557531322122
59032000.0,0.00017696039478803276
59660000.0,0.00017251710219586558
60288000.0,0.00016821955088592859
60916000.0,0.0001640617378741299
61544000.0,0.00016003796224751485
62172000.0,0.0001561428071059521
62800000.0,0.00015237112275283437
63428000.0,0.0001487180110369963
64056000.0,0.00014517881075659615
64684000.0,0.00014174908404339173
65312000.0,0.00013842460365283443
65940000.0,0.00013520134109171165
66568000.0,0.00013207545552081242
67196000.0,0.0001290432833752781
67824000.0,0.00012610132865002968
68452000.0,0.00012324625380197413
69080000.0,0.0001204748712245731
69708000.0,0.00011778413525395877
70336000.0,0.00011517113466899016
70964000.0,0.00011263308565063705
71592000.0,0.00011016732516877258
72220000.0,0.00010777130476692237
72848000.0,0.00010544258471780224
73476000.0,0.00010317882852451834
74104000.0,0.00010097779774423144
74732000.0,9.883734711280032e-05
75360000.0,9.675541995053609e-05
75988000.0,9.473004383064847e-05
76616000.0,9.275932649332081e-05
77244000.0,9.084145198958827e-05
77872000.0,8.897467704032842e-05
78500000.0,8.715732759672342e-05
79128000.0,8.538779558951968e-05
79756000.0,8.366453585530643e-05
80384000.0,8.19860632288455e-05
81012000.0,8.03509497912562e-05
81640000.0,7.87578222645454e-05
82268000.0,7.72053595436358e-05
82896000.0,7.569229035763639e-05
83524000.0,7.421739105264529e-05
84152000.0,7.277948348891221e-05
84780000.0,7.137743304563354e-05
85408000.0,7.001014672711835e-05
86036000.0,6.867657136446059e-05
86664000.0,6.737569190722975e-05
87292000.0,6.610652980005737e-05
87920000.0,6.48681414393095e-05
88548000.0,6.365961670535032e-05
89176000.0,6.248007756617592e-05
89804000.0,6.132867674847381e-05
90432000.0,6.020459647239256e-05
91060000.0,5.91070472465459e-05
91688000.0,5.803526671998909e-05
92316000.0,5.6988518588090775e-05
92944000.0,5.596609154942793e-05
93572000.0,5.496729831098807e-05
94200000.0,5.3991474639130555e-05
94828000.0,5.303797845391259e-05
95456000.0,5.210618896451944e-05
96084000.0,5.11955058436794e-05
96712000.0,5.030534843905372e-05
97340000.0,4.9435155019724295e-05
97968000.0,4.858438205598942e-05
98596000.0,4.7752503530802855e-05
99224000.0,4.693901028126561e-05
99852000.0,4.614340936867665e-05
100480000.0,4.536522347573495e-05
101108000.0,4.4603990329562205e-05
101736000.0,4.385926214928108e-05
102364000.0,4.31306051169659e-05
102992000.0,4.241759887083475e-05
103620000.0,4.171983601962461e-05
104248000.0,4.103692167713693e-05
104876000.0,4.036847301600371e-05
105504000.0,3.9714118839767955e-05
106132000.0,3.90734991724282e-05
106760000.0,3.844626486463272e-05
107388000.0,3.783207721575557e-05
108016000.0,3.7230607611128554e-05
108644000.0,3.664153717373702e-05
109272000.0,3.606455642972262e-05
109900000.0,3.5499364987073286e-05
110528000.0,3.494567122690966e-05
111156000.0,3.4403192006803715e-05
111784000.0,3.387165237560163e-05
112412000.0,3.335078529924253e-05
113040000.0,3.284033139708785e-05
113668000.0,3.2340038688312474e-05
114296000.0,3.184966234791391e-05
114924000.0,3.136896447192884e-05
115552000.0,3.089771385146386e-05
116180000.0,3.0435685755163486e-05
116808000.0,2.9982661719759803e-05
117436000.0,2.9538429348361372e-05
118064000.0,2.9102782116158025e-05
118692000.0,2.867551918323716e-05
119320000.0,2.8256445214204684e-05
119948000.0,2.78453702043483e-05
120576000.0,2.744210931205673e-05
121204000.0,2.704648269725092e-05
121832000.0,2.665831536558102e-05
122460000.0,2.6277437018154184e-05
123088000.0,2.5903681906573802e-05
123716000.0,2.553688869307506e-05
124344000.0,2.5176900315557042e-05
124972000.0,2.4823563857316272e-05
125600000.0,2.4476730421295747e-05
126228000.0,2.4136255008676397e-05
126856000.0,2.3801996401636582e-05
127484000.0,2.347381705012082e-05
128112000.0,2.315158296246519e-05
128740000.0,2.283516359972448e-05
129368000.0,2.2524431773569728e-05
129996000.0,2.2219263547608723e-05
130624000.0,2.191953814201021e-05
131252000.0,2.1625137841300284e-05
131880000.0,2.1335947905215998e-05
132508000.0,2.1051856482499935e-05
133136000.0,2.077275452752717e-05
133764000.0,2.0498535719661363e-05
134392000.0,2.0229096385234875e-05
135020000.0,1.9964335422062518e-05
135648000.0,1.9704154226394323e-05
136276000.0,1.944845662221455e-05
136904000.0,1.9197148792810297e-05
137532000.0,1.8950139214520357e-05
138160000.0,1.8707338592590034e-05
138788000.0,1.8468659799056435e-05
139416000.0,1.8234017812592098e-05
140044000.0,1.8003329660234868e-05
140672000.0,1.7776514360942738e-05
141300000.0,1.755349287090459e-05
141928000.0,1.733418803054906e-05
142556000.0,1.711852451319037e-05
143184000.0,1.69064287752538e-05
143812000.0,1.669782900803108e-05
144440000.0,1.649265509090457e-05
145068000.0,1.6290838546000132e-05
145696000.0,1.609231249421096e-05
146324000.0,1.5897011612552188e-05
146952000.0,1.570487209279546e-05
147580000.0,1.5515831601348825e-05
148208000.0,1.532982924032976e-05
148836000.0,1.5146805509800082e-05
149464000.0,1.4966702271119425e-05
150092000.0,1.4789462711381152e-05
150720000.0,1.4615031308896788e-05
151348000.0,1.4443353799689944e-05
151976000.0,1.427437714497374e-05
152604000.0,1.4108049499571664e-05
153232000.0,1.3944320181257208e-05
153860000.0,1.3783139640979383e-05
154488000.0,1.3624459433946901e-05
155116000.0,1.3468232191543574e-05
155744000.0,1.331441159404459e-05
156372000.0,1.3162952344115508e-05
157000000.0,1.3013810141060562e-05
157628000.0,1.2866941655804125e-05
158256000.0,1.2722304506575321e-05
158884000.0,1.2579857235280237e-05
159512000.0,1.2439559284533835e-05
160140000.0,1.2301370975336702e-05
160768000.0,1.2165253485371492e-05
161396000.0,1.2031168827904041e-05
162024000.0,1.1899079831267626e-05
162652000.0,1.176895011891343e-05
163280000.0,1.1640744090009528e-05
163908000.0,1.151442690057294e-05
164536000.0,1.1389964445115932e-05
165164000.0,1.1267323338792778e-05
165792000.0,1.1146470900031252e-05
166420000.0,1.102737513363568e-05
167048000.0,1.0910004714343098e-05
167676000.0,1.0794328970825087e-05
168304000.0,1.0680317870115667e-05
168932000.0,1.0567942002457785e-05
169560000.0,1.045717256655295e-05
170188000.0,1.0347981355201872e-05
170816000.0,1.0240340741326976e-05
171444000.0,1.0134223664363399e-05
172072000.0,1.0029603617007877e-05
172700000.0,9.92645463231655e-06
173328000.0,9.82475127113965e-06
173956000.0,9.724468609884024e-06
174584000.0,9.625582228594488e-06
175212000.0,9.5280681993451e-06
175840000.0,9.43190307492817e-06
176468000.0,9.337063877838112e-06
177096000.0,9.243528089536358e-06
177724000.0,9.151273639991704e-06
178352000.0,9.060278897489868e-06
178980000.0,8.970522658700648e-06
179608000.0,8.881984138998358e-06
180236000.0,8.794642963027984e-06
180864000.0,8.70847915550932e-06
181492000.0,8.623473132273105e-06
182120000.0,8.539605691521976e-06
182748000.0,8.456858005311005e-06
183376000.0,8.375211611240397e-06
184004000.0,8.294648404356553e-06
