Probe Detununing,Ground Population
-314000000.0,0.999749147289057
-313372000.0,0.9997482319478026
-312744000.0,0.9997473117525836
-312116000.0,0.99974638667026
-311488000.0,0.9997454566674198
-310860000.0,0.999744521710377
-310232000.0,0.9997435817651692
-309604000.0,0.9997426367975544
-308976000.0,0.9997416867730086
-308348000.0,0.9997407316567234
-307720000.0,0.9997397714136032
-307092000.0,0.9997388060082626
-306464000.0,0.9997378354050235
-305836000.0,0.9997368595679117
-305208000.0,0.9997358784606563
-304580000.0,0.999734892046684
-303952000.0,0.999733900289118
-303324000.0,0.9997329031507753
-302696000.0,0.9997319005941631
-302068000.0,0.9997308925814753
-301440000.0,0.9997298790745914
-300812000.0,0.9997288600350717
-300184000.0,0.9997278354241552
-299556000.0,0.9997268052027565
-298928000.0,0.9997257693314621
-298300000.0,0.9997247277705281
-297672000.0,0.9997236804798767
-297044000.0,0.9997226274190926
-296416000.0,0.9997215685474208
-295788000.0,0.9997205038237623
-295160000.0,0.9997194332066717
-294532000.0,0.9997183566543526
-293904000.0,0.9997172741246562
-293276000.0,0.9997161855750764
-292648000.0,0.9997150909627462
-292020000.0,0.999713990244436
-291392000.0,0.9997128833765483
-290764000.0,0.9997117703151148
-290136000.0,0.9997106510157934
-289508000.0,0.9997095254338636
-288880000.0,0.9997083935242235
-288252000.0,0.9997072552413865
-287624000.0,0.9997061105394766
-286996000.0,0.9997049593722249
-286368000.0,0.9997038016929672
-285740000.0,0.9997026374546378
-285112000.0,0.9997014666097679
-284484000.0,0.99970028911048
-283856000.0,0.9996991049084852
-283228000.0,0.9996979139550783
-282600000.0,0.9996967162011345
-281972000.0,0.9996955115971046
-281344000.0,0.9996943000930113
-280716000.0,0.9996930816384462
-280088000.0,0.9996918561825626
-279460000.0,0.9996906236740748
-278832000.0,0.9996893840612512
-278204000.0,0.9996881372919111
-277576000.0,0.9996868833134207
-276948000.0,0.9996856220726875
-276320000.0,0.9996843535161573
-275692000.0,0.9996830775898079
-275064000.0,0.9996817942391467
-274436000.0,0.9996805034092044
-273808000.0,0.9996792050445311
-273180000.0,0.9996778990891914
-272552000.0,0.9996765854867598
-271924000.0,0.9996752641803163
-271296000.0,0.9996739351124401
-270668000.0,0.9996725982252074
-270040000.0,0.9996712534601832
-269412000.0,0.9996699007584193
-268784000.0,0.999668540060447
-268156000.0,0.9996671713062737
-267528000.0,0.9996657944353765
-266900000.0,0.9996644093866982
-266272000.0,0.9996630160986408
-265644000.0,0.9996616145090614
-265016000.0,0.9996602045552662
-264388000.0,0.9996587861740048
-263760000.0,0.999657359301466
-263132000.0,0.9996559238732706
-262504000.0,0.9996544798244679
-261876000.0,0.9996530270895276
-261248000.0,0.999651565602337
-260620000.0,0.9996500952961922
-259992000.0,0.999648616103795
-259364000.0,0.9996471279572454
-258736000.0,0.9996456307880366
-258108000.0,0.9996441245270482
-257480000.0,0.9996426091045415
-256852000.0,0.9996410844501518
-256224000.0,0.9996395504928834
-255596000.0,0.9996380071611035
-254968000.0,0.999636454382535
-254340000.0,0.9996348920842512
-253712000.0,0.9996333201926684
-253084000.0,0.9996317386335404
-252456000.0,0.9996301473319517
-251828000.0,0.9996285462123106
-251200000.0,0.9996269351983434
-250572000.0,0.9996253142130863
-249944000.0,0.9996236831788804
-249316000.0,0.9996220420173634
-248688000.0,0.9996203906494635
-248060000.0,0.999618728995392
-247432000.0,0.9996170569746372
-246804000.0,0.9996153745059558
-246176000.0,0.9996136815073675
-245548000.0,0.999611977896146
-244920000.0,0.9996102635888129
-244292000.0,0.9996085385011306
-243664000.0,0.9996068025480933
-243036000.0,0.9996050556439213
-242408000.0,0.9996032977020526
-241780000.0,0.9996015286351346
-241152000.0,0.9995997483550182
-240524000.0,0.9995979567727479
-239896000.0,0.9995961537985555
-239268000.0,0.9995943393418517
-238640000.0,0.9995925133112179
-238012000.0,0.9995906756143985
-237384000.0,0.9995888261582921
-236756000.0,0.9995869648489443
-236128000.0,0.9995850915915385
-235500000.0,0.999583206290388
-234872000.0,0.9995813088489273
-234244000.0,0.9995793991697043
-233616000.0,0.9995774771543702
-232988000.0,0.9995755427036728
-232360000.0,0.9995735957174461
-231732000.0,0.9995716360946026
-231104000.0,0.9995696637331234
-230476000.0,0.99956767853005
-229848000.0,0.9995656803814755
-229220000.0,0.9995636691825346
-228592000.0,0.9995616448273947
-227964000.0,0.9995596072092471
-227336000.0,0.999557556220297
-226708000.0,0.9995554917517546
-226080000.0,0.9995534136938251
-225452000.0,0.9995513219356997
-224824000.0,0.9995492163655454
-224196000.0,0.9995470968704955
-223568000.0,0.9995449633366397
-222940000.0,0.9995428156490144
-222312000.0,0.9995406536915925
-221684000.0,0.9995384773472732
-221056000.0,0.9995362864978725
-220428000.0,0.9995340810241123
-219800000.0,0.9995318608056105
-219172000.0,0.9995296257208705
-218544000.0,0.9995273756472708
-217916000.0,0.9995251104610546
-217288000.0,0.9995228300373189
-216660000.0,0.9995205342500035
-216032000.0,0.9995182229718822
-215404000.0,0.9995158960745493
-214776000.0,0.9995135534284101
-214148000.0,0.9995111949026703
-213520000.0,0.9995088203653236
-212892000.0,0.9995064296831426
-212264000.0,0.9995040227216655
-211636000.0,0.9995015993451856
-211008000.0,0.9994991594167405
-210380000.0,0.9994967027981008
-209752000.0,0.999494229349757
-209124000.0,0.9994917389309099
-208496000.0,0.9994892313994579
-207868000.0,0.9994867066119857
-207240000.0,0.9994841644237521
-206612000.0,0.9994816046886785
-205984000.0,0.9994790272593376
-205356000.0,0.9994764319869403
-204728000.0,0.9994738187213242
-204100000.0,0.9994711873109422
-203472000.0,0.9994685376028495
-202844000.0,0.9994658694426911
-202216000.0,0.999463182674691
-201588000.0,0.9994604771416387
-200960000.0,0.9994577526848772
-200332000.0,0.9994550091442905
-199704000.0,0.9994522463582916
-199076000.0,0.999449464163809
-198448000.0,0.9994466623962758
-197820000.0,0.9994438408896154
-197192000.0,0.9994409994762297
-196564000.0,0.9994381379869862
-195936000.0,0.9994352562512062
-195308000.0,0.9994323540966505
-194680000.0,0.9994294313495077
-194052000.0,0.9994264878343814
-193424000.0,0.9994235233742768
-192796000.0,0.9994205377905879
-192168000.0,0.9994175309030862
-191540000.0,0.9994145025299045
-190912000.0,0.9994114524875282
-190284000.0,0.9994083805907785
-189656000.0,0.9994052866528025
-189028000.0,0.9994021704850582
-188400000.0,0.9993990318973027
-187772000.0,0.9993958706975792
-187144000.0,0.9993926866922033
-186516000.0,0.9993894796857515
-185888000.0,0.9993862494810469
-185260000.0,0.9993829958791473
-184632000.0,0.9993797186793324
-184004000.0,0.9993764176790899
